 Date,Type,Merchant/Description,Debit/Credit,Balance
13/12/2019,CR,************************************,£129.00,-£14.67
12/12/2019,DD,Fox-like badger,-£20.06,-£143.67
11/12/2019,CHQ,******************,-£27.50,-£123.61
10/12/2019,))),Fox-like badger,-£1.39,-£96.11
10/12/2019,))),Fox-like badger,-£15.93,-£94.72
10/12/2019,))),Fox-like badger,-£1.70,-£78.79
10/12/2019,))),Fox-like badger,-£6.10,-£77.09
10/12/2019,VIS,Fox-like badger,-£48.50,-£70.99
10/12/2019,VIS,Fox-like badger,-£200.00,-£22.49
10/12/2019,VIS,Fox-like badger,-£9.99,£177.51
10/12/2019,CR,************************************,£280.00,£187.50
09/12/2019,))),Badger,-£12.80,-£92.50
09/12/2019,))),Badger,-£4.20,-£79.70
09/12/2019,))),Badger,-£4.40,-£75.50
09/12/2019,))),Badger,-£23.04,-£71.10
09/12/2019,VIS,Badger,-£36.18,-£48.06
09/12/2019,ATM,Badger,-£400.00,-£11.88
05/12/2019,DD,Badger,-£52.00,£388.12
04/12/2019,))),Badger,-£8.02,£440.12
04/12/2019,BP,Badger,-£150.00,£448.14
03/12/2019,DD,Badger,-£19.48,£598.14
02/12/2019,VIS,Badger,-£64.57,£617.62
02/12/2019,))),Badger,-£13.70,£682.19
02/12/2019,))),Badger,-£13.70,£695.89
02/12/2019,SO,Badger,-£316.00,£709.59
02/12/2019,SO,Badger,-£420.67,"£1,025.59"
02/12/2019,DD,Badger,-£19.00,"£1,446.26"
02/12/2019,DD,Badger,-£103.00,"£1,465.26"
02/12/2019,DD,Badger,-£185.61,"£1,568.26"
02/12/2019,DD,Badger,-£126.73,"£1,753.87"
02/12/2019,DD,Badger,-£345.88,"£1,880.60"
29/11/2019,))),Badger,-£14.79,"£2,226.48"
29/11/2019,))),Badger,-£1.74,"£2,241.27"
29/11/2019,VIS,Badger,-£44.46,"£2,243.01"
28/11/2019,ATM,Badger,-£40.00,"£2,287.47"
28/11/2019,DD,Badger,-£146.39,"£2,327.47"
28/11/2019,CR,Badger,"£2,226.87","£2,473.86"
25/11/2019,VIS,Badger,-£9.00,£246.99
25/11/2019,))),Badger,-£16.57,£255.99
25/11/2019,VIS,Badger,-£50.46,£272.56
25/11/2019,VIS,Badger,-£39.41,£323.02
25/11/2019,))),Badger,-£13.30,£362.43
25/11/2019,))),Badger,-£5.65,£375.73
25/11/2019,))),Badger,-£7.00,£381.38
25/11/2019,))),Badger,-£3.90,£388.38
23/11/2019,ATM,Badger,-£30.00,£392.28
22/11/2019,VIS,Badger,-£24.99,£422.28
22/11/2019,CR,Badger,£1.99,£447.27
21/11/2019,))),Badger,-£22.77,£445.28
21/11/2019,VIS,Badger,-£64.75,£468.05
19/11/2019,))),Badger,-£1.59,£532.80
19/11/2019,))),Badger,-£8.74,£534.39
19/11/2019,VIS,Badger,-£45.00,£543.13
19/11/2019,VIS,Badger,-£3.99,£588.13
19/11/2019,VIS,Badger,-£2.99,£592.12
19/11/2019,VIS,Badger,-£6.36,£595.11
19/11/2019,VIS,Badger,-£12.99,£601.47
19/11/2019,VIS,Badger,-£7.49,£614.46
19/11/2019,VIS,Badger,-£9.56,£621.95
19/11/2019,INT,Badger,-£2.11,£631.51
18/11/2019,))),Badger,-£20.47,£633.62
18/11/2019,))),Badger,-£15.57,£654.09
18/11/2019,))),Badger,-£3.90,£669.66
18/11/2019,))),Badger,-£6.90,£673.56
18/11/2019,))),Badger,-£6.70,£680.46
18/11/2019,))),Badger,-£3.20,£687.16
18/11/2019,))),Badger,-£3.84,£690.36
18/11/2019,VIS,Badger,"-£1,146.26",£694.20
18/11/2019,VIS,Badger,"-£2,161.77","£1,840.46"
18/11/2019,VIS,Badger,-£68.19,"£4,002.23"
18/11/2019,DD,Badger,-£166.00,"£4,070.42"
18/11/2019,DD,Badger,-£39.95,"£4,236.42"
18/11/2019,DD,Badger,-£1.00,"£4,276.37"
17/11/2019,BP,Badger,-£300.00,"£4,277.37"
15/11/2019,))),Badger,-£6.34,"£4,577.37"
15/11/2019,CR,Badger,£135.20,"£4,583.71"
12/11/2019,))),Badger,-£5.48,"£4,448.51"
12/11/2019,VIS,Badger,-£66.25,"£4,453.99"
12/11/2019,DD,Badger,-£20.06,"£4,520.24"
11/11/2019,))),Badger,-£11.35,"£4,540.30"
11/11/2019,))),Badger,-£12.97,"£4,551.65"
11/11/2019,))),Badger,-£28.63,"£4,564.62"
08/11/2019,VIS,Badger,-£36.99,"£4,593.25"
07/11/2019,))),Badger,-£2.30,"£4,630.24"
07/11/2019,))),Badger,-£3.99,"£4,632.54"
07/11/2019,))),Badger,-£3.99,"£4,636.53"
07/11/2019,))),Badger,-£11.69,"£4,640.52"
07/11/2019,VIS,Badger,-£54.72,"£4,652.21"
06/11/2019,))),Badger,-£3.48,"£4,706.93"
06/11/2019,))),Badger,-£5.00,"£4,710.41"
05/11/2019,ATM,Badger,-£20.00,"£4,715.41"
05/11/2019,DD,Badger,-£66.00,"£4,735.41"
04/11/2019,))),Badger,-£23.49,"£4,801.41"
04/11/2019,))),Badger,-£14.80,"£4,824.90"
04/11/2019,))),Badger,-£10.85,"£4,839.70"
04/11/2019,))),Badger,-£3.00,"£4,850.55"
04/11/2019,))),Badger,-£4.40,"£4,853.55"
04/11/2019,VIS,Badger,-£74.03,"£4,857.95"
04/11/2019,VIS,Badger,-£38.40,"£4,931.98"
04/11/2019,DD,Badger,-£19.48,"£4,970.38"
01/11/2019,VIS,Badger,-£41.99,"£4,989.86"
01/11/2019,SO,Badger,-£316.00,"£5,031.85"
01/11/2019,SO,Badger,-£420.67,"£5,347.85"
01/11/2019,DD,Badger,-£19.00,"£5,768.52"
01/11/2019,DD,Badger,-£103.00,"£5,787.52"
01/11/2019,DD,Badger,-£185.61,"£5,890.52"
01/11/2019,DD,Badger,-£126.73,"£6,076.13"
01/11/2019,DD,Badger,-£345.88,"£6,202.86"
31/10/2019,VIS,Badger,-£3.99,"£6,548.74"
31/10/2019,DD,Badger,-£99.44,"£6,552.73"
30/10/2019,CR,Badger,"£2,226.87","£6,652.17"
29/10/2019,))),Badger,-£7.31,"£4,425.30"
29/10/2019,VIS,Badger,-£63.29,"£4,432.61"
29/10/2019,CR,Badger,"£5,000.00","£4,495.90"
28/10/2019,))),Badger,-£4.49,-£504.10
28/10/2019,))),Badger,-£1.39,-£499.61
28/10/2019,))),Badger,-£12.00,-£498.22
28/10/2019,))),Badger,-£3.05,-£486.22
28/10/2019,))),Badger,-£1.30,-£483.17
28/10/2019,))),Badger,-£1.30,-£481.87
28/10/2019,))),Badger,-£1.30,-£480.57
28/10/2019,))),Badger,-£1.30,-£479.27
28/10/2019,))),Badger,-£3.99,-£477.97
28/10/2019,VIS,Badger,-£46.00,-£473.98
28/10/2019,BP,Badger,-£70.00,-£427.98
23/10/2019,))),Badger,-£3.18,-£357.98
23/10/2019,VIS,Badger,-£51.90,-£354.80
22/10/2019,VIS,Badger,-£12.50,-£302.90
21/10/2019,))),Badger,-£11.00,-£290.40
21/10/2019,))),Badger,-£19.04,-£279.40
21/10/2019,))),Badger,-£12.97,-£260.36
21/10/2019,))),Badger,-£15.91,-£247.39
21/10/2019,VIS,Badger,-£205.98,-£231.48
